experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
45,,,,,2714.5142743587494,"[-1, 15, 94]",95.00000000000001,Done!,3101.1883974075317,,,ERROR: ,,,,,0.008910179138183594,"[-1, 15, 35]",94,Done!,100,"[94, 15, 24, 76]",6,102.85367284299991,94,,-1.0000000000000142,,,0
46,,,,,3459.2452313899994,"[-1, 53, 54, 49]",94.0,Done!,3352.19207906723,,,ERROR: ,,,,,0.008977174758911133,"[-1, 53, 49, 98, 86]",92,Done!,100,"[6, 99, 62, 0, 14, 74, 72]",21,128.26541084499968,79,,-15.0,,,-13
47,,,,,2488.150626182556,"[-1, 0, 54, 92, 16]",97.0,Done!,3088.328456401825,,,ERROR: ,,,,,0.009497404098510742,"[-1, 0, 16, 63, 7]",95,Done!,100,"[58, 0, 54]",2,63.61366030299996,98,,1.0,,,3
48,,,,,6326.970283269882,"[-1, 74, 62, 17, 43]",89.0,Done!,3379.957980632782,,,ERROR: ,,,,,0.00906991958618164,"[-1, 6, 41, 81]",86,Done!,100,"[74, 6, 29]",9,69.03656591600065,91,,2.0,,,5
49,,,,,2521.6155614852905,"[-1, 99, 86, 47]",98.0,Done!,3149.403798341751,,,ERROR: ,,,,,0.008861541748046875,"[-1, 86, 47, 72]",97,Done!,100,"[76, 99, 86]",1,125.03027458100041,99,,1.0,,,2
50,,,,,2685.710521221161,"[-1, 94, 7, 84, 98]",96.0,Done!,3183.6753487586975,,,ERROR: ,,,,,0.008899688720703125,"[-1, 94, 7, 84, 98]",96,Done!,100,"[94, 48, 87, 13]",1,38.67236265700012,99,,3.0,,,3
51,0.06686615943908691,"[-1, 15, 0, 7, 13]",11.0,Done!,9.006367683410645,"[-1, 15, 0, 7, 13]",11.0,Done!,15.144894361495972,"[-1, 15, 0, 11, 12, 13]",11.0,Done!,26759.819811105728,"[-1, 15, 11, 0, 13, 12, 1, 6]",11.0,Done!,0.00428318977355957,"[-1, 15, 7, 13]",10,Done!,20,"[4, 5]",14,4.507766474000164,6,-5.0,-5.0,-5.0,-5.0,-4
52,0.05846905708312988,"[-1, 6, 3, 1, 8, 4, 2]",15.0,Done!,5.69188117980957,"[-1, 6, 3, 8, 1, 9]",15.0,Done!,23.85261559486389,"[-1, 6, 3, 19, 12, 17]",15.0,Done!,86400.17928266525,,,ERROR: Runner exceded the timeout limit,0.0037240982055664062,"[-1, 6, 19, 12, 17]",13,Done!,20,"[8, 1, 10, 13]",14,5.158973591999711,6,-9.0,-9.0,-9.0,,-7
53,0.020714759826660156,"[-1, 10, 2, 1]",15.0,Done!,3.139914035797119,"[-1, 10, 2, 1]",15.0,Done!,7.6340012550354,"[-1, 10, 2, 1]",15.0,Done!,94.90329885482788,"[-1, 10, 2, 1, 19, 5, 0, 4, 6, 13, 12]",15.0,Done!,0.0036454200744628906,"[-1, 10, 1]",14,Done!,20,"[11, 0, 5, 16]",11,4.9780793669997365,9,-6.0,-6.0,-6.0,-6.0,-5
54,0.030108928680419922,"[-1, 15, 4]",15.0,Done!,3.1323459148406982,"[-1, 15, 4]",15.0,Done!,6.0626444816589355,"[-1, 15, 4]",15.0,Done!,456.6276137828827,"[-1, 15, 4, 16, 11, 0]",15.0,Done!,0.0035321712493896484,"[-1, 15, 4]",15,Done!,20,"[18, 7]",3,2.1996415179992255,17,2.0,2.0,2.0,2.0,2
55,0.06248021125793457,"[-1, 17]",15.0,Done!,2.9986371994018555,"[-1, 17]",15.0,Done!,6.312793254852295,"[-1, 17]",15.0,Done!,1248.4967966079712,"[-1, 17, 16, 3, 5, 0, 1, 8, 10, 11, 15]",15.0,Done!,0.0035791397094726562,"[-1, 17]",15,Done!,20,"[7, 0, 11, 5, 3]",7,6.490845697000623,13,-2.0,-2.0,-2.0,-2.0,-2
56,0.022191524505615234,"[-1, 9, 13, 17, 3]",12.0,Done!,5.020771503448486,"[-1, 9, 13, 17, 3]",12.0,Done!,9.95369291305542,"[-1, 9, 13, 17, 3]",12.0,Done!,1258.4213848114014,"[-1, 9, 13, 17, 3, 0, 5, 11, 4]",12.0,Done!,0.0034809112548828125,"[-1, 17, 3]",8,Done!,20,"[14, 10, 13, 8, 6]",10,6.168430349999653,10,-2.0,-2.0,-2.0,-2.0,2
57,0.14634013175964355,"[-1, 3, 0, 16, 17]",16.0,Done!,6.373048543930054,"[-1, 3, 14]",16.0,Done!,13.852207660675049,"[-1, 3, 14]",16.0,Done!,86400.15311074257,,,ERROR: Runner exceded the timeout limit,0.0035440921783447266,"[-1, 3, 14]",16,Done!,20,"[0, 7, 15, 9]",11,5.4322102380001525,9,-7.0,-7.0,-7.0,,-7
58,0.031080007553100586,"[-1, 3, 6, 8, 5, 18]",14.0,Done!,3.3505523204803467,"[-1, 3, 9, 12]",14.0,Done!,9.366890907287598,"[-1, 3, 9, 12]",14.0,Done!,86400.11500096321,,,ERROR: Runner exceded the timeout limit,0.0035631656646728516,"[-1, 3, 9, 12]",14,Done!,20,"[9, 2, 12]",7,4.7150638800003435,13,-1.0,-1.0,-1.0,,-1
59,0.38172149658203125,"[-1, 13, 14, 4, 2, 9]",18.0,Done!,5.180176019668579,"[-1, 13, 14, 4, 2, 9]",18.0,Done!,9.818460702896118,"[-1, 13, 14, 4, 2, 9]",18.0,Done!,2838.1151871681213,"[-1, 13, 14, 4, 2, 9, 3, 15, 0, 6, 16]",18.0,Done!,0.0034942626953125,"[-1, 12]",17,Done!,20,[12],3,2.4369611450001685,17,-1.0,-1.0,-1.0,-1.0,0
60,0.043447017669677734,"[-1, 4, 1]",16.0,Done!,4.06712007522583,"[-1, 4, 1]",16.0,Done!,12.392312049865723,"[-1, 4, 1]",16.0,Done!,86400.2850010395,,,ERROR: Runner exceded the timeout limit,0.003818988800048828,"[-1, 4, 1]",16,Done!,20,"[0, 11, 14, 7, 9]",13,5.996825930000341,7,-9.0,-9.0,-9.0,,-9
